candidate_id,doc_id,source,format_stratum,published_at,line_number,head,prehead_text,span_cjk_chars,entropy_percentile,margin_percentile,ambiguous_gap_count,unresolved_distance_to_head,known_character_coverage,competition_stratum,reader_exposed_document
bc-001,01578a91ddc41b76e5e62dd6,meituan_tech,technical_practice,2025-12-05,3,助手,国内外很多AI Coding,5,0.8435604568727846,0.21811736904293028,0,2,1.0,middle_or_unscored,False
bc-002,01578a91ddc41b76e5e62dd6,meituan_tech,technical_practice,2025-12-05,15,修复,在集成测试环境可能需要较长定位,15,0.8509495492039133,0.13082677920583158,0,2,1.0,middle_or_unscored,False
bc-003,07043b9acbd91c95a335e688,leiphone,industry_reporting,2026-07-17,8,任务,评估AI执行科学研究,8,0.13819816373374139,0.8251721499617445,0,2,1.0,low,False
bc-004,17f9090867ec2eab8d17d1f5,meituan_tech,technical_practice,2026-01-26,79,需求,环境供给严格匹配训练,10,0.540745702165662,0.39930788122348737,0,2,1.0,middle_or_unscored,False
bc-005,17f9090867ec2eab8d17d1f5,meituan_tech,technical_practice,2026-01-26,143,去噪,阶梯式动态算力分配+ 步级别,12,0.30281501340482575,0.6490616621983915,0,2,1.0,low,False
bc-006,3d5f95580ea00bb7b085d00a,leiphone,research_summary,2026-01-14,43,计划,国家自然科学基金委原创探索,13,0.19746646795827125,0.747839046199702,0,2,1.0,low,False
bc-007,414b1956b96dd8de905893d2,leiphone,industry_reporting,2026-08-06,249,项目,微软第一代人脸检测算法,11,0.9909855037154343,0.0004872700694359849,3,2,1.0,middle_or_unscored,False
bc-008,4a0f975df81c40f1a7d4b50c,meituan_tech,technical_practice,2026-02-02,67,方案,设计系统化鲁棒性训练,10,0.8152489394954231,0.15550346059388256,0,2,1.0,middle_or_unscored,False
bc-009,56c7879802ae9a2718a0b96c,huawei_cloud_community,technical_practice,2026-08-12,18,实例,华为云APIG专业版,6,0.048447828633587146,0.8713915153543637,0,1,1.0,low,False
bc-010,5c38d60809d31c4fe29840e6,leiphone,research_summary,2026-01-14,39,组织,清华大学多个重要学术,10,0.7474882786336235,0.25474436258093325,0,2,1.0,middle_or_unscored,False
bc-011,5c38d60809d31c4fe29840e6,leiphone,research_summary,2026-01-14,42,模型,新一代大规模预训练语言,11,0.7243269582165915,0.2355950785722987,0,2,1.0,middle_or_unscored,False
bc-012,610070e7610c1439192aa935,huawei_cloud_community,technical_practice,2026-08-12,38,追平,Nine Data增量复制任务,6,0.3160404987030374,0.6186093213956991,0,2,1.0,low,False
